,Counter
poecilia reticulata,5
plant biotechnology,5
telomeres,2
dna repair,9
dna replication,3
dna recombination,3
forms of dna,1
chromosome structure and function,2
plant genomics,2
weighted spaces,2
relativistic equations,1
continuous spectrum,2
born series,2
long-time asymptotics,2
asymptotic completeness,1
convolution,2
dispersion,3
resolvent,2
spectral representation,2
"chloro-(eta^6^-1-isopropyl-4-methylbenzene)-(2-(((pyridin-2-yl)methylene)amino)-5,11-dihydro-6h-indolo[3,2-c]quinolin-6-one)-osmium chloride ethanol solvate monohydrate",1
scaling invariance,1
mathematics - general mathematics,2
colombeau algebras,1
generalized functions,3
homogeneity,2
"12h05, 12h20, 14q20, 34a09",1
(nr lyr) and kic7198959 (rr lyr)),1
"stars: individual: (kic5559631 (v783 cyg), kic3733346",1
"12d05, 70b10",2
d.3.1,2
i.2.3,18
tree hydraulics,2
embolism,3
vulnerability,6
freeze-thaw,2
malus,1
cytokinesis,1
vps4,1
escrt,2
hiv,7
multivesicular body (mvb),1
x(1835),1
approx. 10.58 gev-cms,4
branching ratio: upper limit [channel cross section],2
associated production,1
leptonic decay [j/psi(3100)],1
electroproduction [j/psi(3100)],1
recoil [mass spectrum],1
structural biology. cell fate determination. molecular basis of disease. signal transduction,1
foxo,1
winter biology,1
acoustic emissions,2
juglans regia l.,1
walnut tree,1
bark shrinkage,1
x-ray microtomography.,1
microdendrometer,1
"26a09, 11a25",1
cognitive strategies,1
spatial navigation,1
verbal fluency,2
palaeoenvironments,1
solimões formation,1
solim?es formation,1
ostracoda,2
sphingolipids,2
gba2,1
neuronal differentiation,3
micrasterias denticulata,1
salt stress,4
programmed cell death,3
anti-hyperlipidemic,1
cynaropicrin,1
antitumor,1
anti-parasite,1
anti-inflammatory,2
antibacterial,4
anti-hepatitis c virus,1
anti-gastritis action,1
"austria, constitutional history of austria, hapsburg monarchy, history of austrian administration, neo-absolutism",1
"habsburgermonarchie, neoabsolutismus, österreich, verfassungsgeschichte österreichs, verwaltungsgeschichte österreichs",1
antioxidants,5
clinical investigations,1
lutein zeaxanthin,1
telomere length,1
geriatrics and gerontology,12
"58e20, 31b30",1
d-type prostanoid receptor 2/chemoattractant receptor?homologous molecule expressed on th2 cells,1
pulmonary inflammation,2
d-type prostanoid receptor 1,1
prostaglandin d2,1
hematopoietic prostaglandin d synthase,1
neutrophils,5
d-type prostanoid receptor 2/chemoattractant receptor–homologous molecule expressed on th2 cells,1
αvβ3 integrin,1
?v?3 integrin,1
bifunctional chelator,2
siderophors,1
chromosome pairing,2
"90c27, 05c99, 13p10, 68w30, 90c22",1
regulatory proteins,4
mechanisms of signal transduction,6
membranes and sorting,4
lipid aggregates,1
crosstalk,3
"20d60, 20m13, 11b75, 11p70",1
subcellular analysis,1
compartmentalization,2
metabolome,3
non-aqueous fractionation,1
neuromelanin,1
(r*)-1-methyl-3-((s*)-1-oxo-4-phenyl-1-(pyrrolidin-1-yl)butan-2-yl)piperidin-2-one,1
"20f55 (primary), 06a07, 05e15 (secondary)",1
hadronic decay,3
meson,5
upsilon(10570),18
"iec, intestinal epithelial cell",1
"cac, colitis-associated cancer",1
"ril6, recombinant il6",1
"ihc, immunohistochemistry",4
"crc, colorectal cancer",3
gastroenterology,10
"aom, azoxymethane",1
"ip, intraperitoneal",1
"brdu, bromodeoxyuridine",1
"tma, tissue microarray",1
"fitc, fluorescein isothiocyanate",2
"iel, intestinal epithelial layer",1
"dss, dextran sodium sulfate",2
"pstat3, tyrosine-705-phosphorylated stat3",1
"hcc, hepatocellular carcinoma",2
tumor microenvironment,4
"lp, lamina propria",1
hypothesis and theory article,3
snrk1,2
mathematical modeling,2
plant systems biology,1
sugar metabolism and signaling,1
energy metabolism,6
big five,1
"46f30, 35d05, 35d10",1
solvability.,1
regularity,2
stem cells,12
human placental alkaline phosphatase,1
physiological cell renewal,1
bone marrow transplantation,2
equipment and supplies,11
h2s,1
sympathetic neurons,1
k?7 channels,1
k atp channels,1
excitability,1
transmitter release,2
katp channels,1
kυ7 channels,1
recombinant glycoproteins,1
storage organelles,1
cereal biotechnology,1
n-acetylglucosaminyltransferase,1
golgi apparatus,5
ion mobility spectrometer,1
"es, electrospray",1
electrospray,1
desalting,1
"tem, transmission electron microscopy",2
"em, electrophoretic mobility",1
scanning mobility particle sizer,1
"mw, molecular weight",1
"nm, normal mode",1
capillary electrophoresis,2
"igg, γ globulin",1
"cm, ce mode",1
"gemma, gas-phase electrophoretic mobility molecular analyzer",1
"dma, differential mobility analyzer",1
"bge, background electrolyte",1
"cpc, condensation particle counter",1
"fm, flushing mode",1
gemma,1
statistical,8
branching ratio,11
b0 --> eta(958) pi0,1
pi0 --> photon photon,1
"54h05, 54e52, 54g20",1
"53b20, 53b30, 05a19, 33c20, 53a30",1
carbonyl ligands,2
rhenium,3
carbon dioxide chemistry,1
reduction,7
thermography,2
honeybee,3
energetics,2
lab strains,1
visualization,6
multi-criteria decision analysis,1
parallel coordinates,1
management information systems,4
heatmaps,1
peptide biosynthesis,2
chirality,4
solvent annealing,1
thin film,6
phenytoin,1
spin coating,1
open peer commentary,1
bulk heterojunction,2
photoluminescence,4
charge transfer state,1
polymer:fullerene solar cells,1
interfacial order,1
electroluminescence,3
"14l24, 14l30, 20g20, 22e45",1
"11g50, 11g35",1
alpes europeos,1
co-evolución,1
exposición,1
coevolution,2
dependencia en la ruta,1
manejo de cat?strofes naturales,1
coupled human-physical dynamics,1
550 earth sciences &amp; geology,2
910 geography &amp; travel,1
exposici?n,1
manejo de catástrofes naturales,1
path dependency,1
natural hazard management,1
exposure,2
co-evoluci?n,1
ensemble learning,1
classification,7
81r05,3
17b30,3
22e70,3
17b10,3
58d19,3
17b05,3
ravens,3
other-regard,1
cooperation,13
"italienische oper, london, 19. jahrhundert, sänger, sängerverträge, gerichtsprozesse, her majesty’s theatre, royal italian opera house covent garden, adaptionspraxis, einlagearienpraxis, opernpublikum, opernmarkt",1
"italian opera, london, nineteenth century, singers, singers contracts, court proceedings, her majesty’s theatre, royal italian opera house covent garden, adaptation of operas, substitution of arias, opera audience, opera market",1
"35b25, 49j40, 49q10, 74g70",1
trim,1
b cell signaling,1
t cell signaling,1
e3 ligase,1
tnf signaling,1
deubiquitinase,1
"06b05 (primary), 06d15, 20f55 (secondary)",1
d84,2
jel:g10,2
g10,3
jel:d84,2
inflow-effect,1
trader inflow,1
"experimental finance, inflow-effect, trader inflow, asset market, bubble, market efficiency",1
bubble,1
experimental finance,3
c92,13
market efficiency,1
1α-hydroxylase,1
vitamin d,5
diseases of the endocrine glands. clinical endocrinology,8
bone mineralization,2
fibroblast growth factor-23,3
klotho,1
rc648-665,8
phosphate metabolism,1
alkaline phosphatase,4
o5a15,1
d-finiteness,1
mur ligase inhibitors,1
m. tuberculosis,1
4-quinolones,1
"35k25, 35a30, 35c05, 35c06",1
bromeliothrix metopoides,1
ph response,4
growth rates,2
tank bromeliads,1
feeding threshold,2
polytomella,1
"11d09, 11r11",1
stress tolerance,4
pigments,1
carotenoids,1
health(social science),9
patients,2
"issues, ethics and legal aspects",4
icu nurses,1
students,1
knowledge and attitude,1
organ donation,1
clinic for surgery,1
legislation,1
hydratase,1
metal-organic papers,2
"gewalt, phänomenologie, subjektivität, leiblichkeit,verletzlichkeit, anerkennung",1
"violence, phenomenology, subjectivity, embodiment, vulnerability, recognition",1
lymph node,2
regulatory t-cell,1
chemokines,3
t cell,2
nephrotoxic serum nephritis,1
"35a01, 49k20",1
posterior cingulate cortex,1
effective connectivity,1
dynamic causal modeling,1
default mode network,4
vegetative state,1
"primary: 68q25, secondary 08a30, 08a70",1
i.2.8,3
f.4.m,5
nonlinear sciences::cellular automata and lattice gases,6
"20m05, 20m18, 20m30, 20m35, 68q45",1
inflammatory bowel disease,5
anemia,1
iron deficiency anemia,1
platelets,11
crohn disease,1
clinical trials,5
ulcerative colitis,4
protein–protein interactions,3
structure characterization of biomolecules,1
transient complexes,1
intrinsically disordered proteins,5
"dgung ’phur kloster, tibet, epigraphik, geschichte, buddhismus, mnga’ ris",1
"dgung ’phur monastery, tibet, epigraphy, history, buddhism, mnga' ris",1
bypass signalling,1
therapy resistance mechanisms,1
target modification,1
ar-targeting therapies,1
cancer stem cells,3
histologic transformation,1
helminthosporium juglandinum voglmayr & jaklitsch,1
helminthosporium microsorum d. sacc.,1
helminthosporium leucadendri (quaedvl. et?al.) voglmayr & jaklitsch,1
exosporium caespitosum ellis & barthol.,1
helminthosporium endiandrae (crous & summerell) voglmayr & jaklitsch,1
helminthosporium genistae fr.,1
helminthosporium quercicola (m.e. barr) voglmayr & jaklitsch,1
helminthosporium quercinum voglmayr & jaklitsch,1
helminthosporium austriacum voglmayr & jaklitsch,1
massaria heterospora g.h. otth,1
helminthosporium leucadendri (quaedvl. et al.) voglmayr & jaklitsch,1
massarinaceae,1
massarinula italica d. sacc.,1
sporidesmium olivaceum wallr,1
exosporium tiliae link,1
helminthosporium hispanicum voglmayr & jaklitsch,1
coryneum oligosporum corda,1
helminthosporium kalakadense (subram. & sekar) voglmayr & jaklitsch,1
helminthosporium velutinum link,1
sensitivity analysis,4
landslide susceptibility mapping,1
urmia lake basin,1
gis-mcda,1
library and information sciences,25
"34a12, 46f30 (primary)",1
logic programs,1
ontology mappings,1
databases,2
answer set semantics,1
semantic web,2
well-founded semantics,1
probabilistic logics,1
inconsistency,1
description logic programs,1
data integration,3
ontologies,2
non-bilayer structure,1
lipid discrimination,1
antimicrobial peptide,2
membrane thinning/thickening,1
jel:c21,2
62j05,2
62j07,1
"62f10, 62f12, 62j05, 62j07, 62c05 (primary)",1
selection of regressors,1
post-model-selection estimator,1
lower risk bound,1
pre-test estimator,2
consistency,1
jel:c50,1
inference after model selection,2
akaike’s information criterion aic,1
model uncertainty,2
62f10,2
62f12,2
"inference after model selection, post-model-selection estimator, pre-test estimator, selection of regressors, akaikeis information criterion aic, model uncertainty, consistency, uniform consistency, lower risk bound",1
62c05,1
uniform consistency,1
alpha synchronization,2
frontal cortex,1
internal processing,1
nucleation,2
critical island size,1
organic molecules,4
math_oc] mathématiques/optimisation et contrôle [[math],2
monge-kantorovich problem,3
math_fa] mathématiques/analyse fonctionnelle [[math],2
optimal transport,2
math_oc] mathematics/optimization and control [[math],2
dual attainment,1
kantorovich potential,1
[math.math-fa] mathematics/functional analysis,3
[math.math-fa]mathematics [math]/functional analysis [math.fa],5
math_fa] mathematics/functional analysis [[math],2
cibm-ait,3
smoothed finite element method,1
continuous assumed gradient,1
asynchronous variational integrators,1
critical time step,1
sequence–stability relationship,1
fcγri binding site,1
mutational tolerance,1
immunoglobulin fold,1
"fcγri, fc γ-receptor i",1
"81q20, 35b25, 35b40, 35l60",1
persuasion,1
dual process,1
motivation,4
(vicarious) reactance,1
"dicarbonyl-chloro-(n,n'-(pyridine-2,6-diyl)bis(p,p-diethyl(phosphinous amide)))-iron trifluoromethanesulfonate",1
"54d20, 54a35",2
physics - popular physics,2
physics::history of physics,8
quantitative biology - biomolecules,7
quantitative biology - molecular networks,10
device design,1
organic solar cell,2
electrical contact,1
stability,17
eptifibatide,1
abciximab,2
arterial thrombosis,1
gpiib–iiia antagonists,1
intracoronary administration,1
gpiib?iiia antagonists,1
genetic reports abstract,1
parkinsonism,5
mechanisms of disease,1
raf,2
mapk,5
"30e15, 30c80, 26a12, 30h50",1
non-quasianalytic of moderate growth,1
denjoy–carleman classes,2
convenient setting,2
"26e10, 46a17, 46e50, 58b10, 58b25, 58c25, 58d05, 58d15",3
"fatou property,risk measures",1
jel:g32,1
risk measures; fatou property;,1
fatou property,1
jel:d81,4
risk measures,1
"03e17, 03e15, 03e35, 03e40",2
beech mast,1
arboreal,1
small mammal,1
date of parturition,1
china,3
mongolia,8
ulantatal,1
oligocene,4
eucricetodon,1
whole-brain cultures,1
cholinergic,1
dopaminergic,1
organotypic,1
vascular,2
il‐15,1
propionibacterium acnes,1
short?chain fatty acids,1
mica,3
lymphocytic gastritis,1
16s rrna gene,3
short‐chain fatty acids,1
gastric epithelial cells,1
il?15,1
nkg2d,1
stomach microbiota,1
intraepithelial lymphocytes,1
cell size,1
chemokine receptors,2
g-protein coupled receptor,1
sp:pharma] sciences du vivant/sciences pharmaceutiques/pharmacologie [[sdv],1
[sdv.sp.pharma]life sciences [q-bio]/pharmaceutical sciences/pharmacology,1
heteromerization,1
human cytomegalovirus,1
[sdv.sp.pharma] life sciences/pharmaceutical sciences/pharmacology,1
sp:pharma] life sciences/pharmaceutical sciences/pharmacology [[sdv],1
post-endocytic sorting,1
cytosine-5 rna methylation,1
transfer rna,3
trna fragments,1
mobile elements,4
genome integrity,1
dna repeats,1
rna modification,1
cannibalism,1
phytoseiidae,3
multitasking,1
kin recognition,1
limited attention,2
multisignal environment,1
selective attention,1
organic semiconductors,2
co2 reduction,3
reviews,12
heterogeneous catalysis,5
bioelectrocatalysis,1
electrocatalysis,3
"54a25, 54a35, 54d20, 54b10, 03e35",1
jel:c68,3
"65m20, 65m12, 65l04",1
high temperature deformation,1
part a: materials science,1
mu-laue diffraction,1
µ-laue diffraction,1
?-laue diffraction,1
size effect,3
"34l05, 81q10 (primary), 34l40, 47e05 (secondary)",1
"core α1,3-fucosyltransferase",1
"β1,2-xylosyltransferase",1
n-glycan,3
altruistic behavior,1
dictator game,2
experimental design,2
prosocial behavior,2
reflection,2
decision making,6
"22e30, 22e46, 43a30, 43a80, 43a85",3
"20c32, 05e45, 22f99, 55n22, 81t45",1
ene reductases,1
alkene reduction,1
hydrogen donors,1
artificial biocatalysis,1
crocodiles,1
feathers,3
skin,14
integument,2
alligators,1
mesh:cardiology,1
myocardial infarction; intensive-care medicine,1
mesh:austria,1
"mesh:shock, cardiogenic",1
mesh:humans,1
mesh:germany,1
mesh:myocardial infarction,1
clinical practice guideline,1
mesh:practice guidelines as topic,1
computer science::other,2
free-energy calculations,2
charging free energies,1
electrostatic artifacts,1
"05c25 (primary) 05c63, 05c15, 03e10 (secondary)",1
"carbonyl-dihydrido-(n,n'-(pyridine-2,6-diyl)bis(p,p-diisopropyl-n-methyl(phosphinous amide)))-iron",1
"octakis(1,1-dimethylpropyl)octasilsesquioxane",1
conditional lie–bäcklund symmetry,1
exact solution,2
passive system,1
evolution equation,1
generalized conditional symmetry,1
formal compatibility,1
"35b06 (primary) 35k55, 35k57, 35c05 (secondary)",1
"(2,6-bis((di-isopropylphosphino)(methyl)amino)phenyl)-hydrido-nickel",1
iridium,1
porphyrinoids,1
phosphorescence,3
optical sensors,1
altitudinal belts,1
"tourism, leisure and hospitality management",3
landscape change,2
central andes,3
globalization,1
mountain cities,2
peru,3
latent heat flux,1
bowen-ratio,1
sensible heat flux,1
available radiation,1
element binding protein,1
in,1
end rule pathway,1
seed germination,1
factor capf1,1
dormancy,1
induced stomatal closure,1
platelet activation,2
membrane composition,1
lipid bilayer,2
blood coagulation,3
body fluids,12
blood,8
coagluation factors,1
statistics::machine learning,4
sex difference,3
global advantage,2
hemifield,1
number magnitude comparison,1
bacterioplankton community composition,1
light exposure history,1
solar radiation,2
aquatic ecosystems,2
bacterial heterotrophic activity,1
light history,1
spontaneous movements,2
obstetrics and gynaecology,8
infant,3
motor performance,1
video analysis,5
bipolar diffusion charging,1
ac-corona discharge,1
radioactive charger,1
aerosol,2
soft x-ray,1
assessment,1
urban parks,1
structural diversity,1
recreation,4
viscosity,3
liquid alloys,3
co–sn,3
bioreduction,2
"öfos, humanities, historical sciences, modern history",5
"öfos, humanities, historical sciences, social history",8
"verwandtschaft, heirat, dispenspraxis, verwaltung, häusliche organisation, regionale muster;kinship, marriage, dispensation practice, administration, domestic organisation, regional patterns",1
"bic standard subject categories, humanities, history, regional & national history, european history",18
jel:f31,1
"overconfidence, imperfect rationality, currency dealers, survival of imperfect rationality",1
jel:g15,1
jel:g14,3
integrins,3
laminin-1,1
cancer associated fibroblasts,2
extracellular matrix remodeling,1
stromal fibroblasts,1
multinationals; transport sector; iceberg transport costs; economies of scale,2
jel:f12,4
ramanujan's 1ψ1 summation,1
chu–vandermonde summation pfaff–saalschütz summation,1
multiple hypergeometric series,1
33c70 (primary) 33c20 33d70 (secondary),1
earthquake,2
eastern alps,5
tectonic strain,1
slope failure,1
brain inflammation,1
demyelination,9
astrocytes,12
arsenic,2
[chim.mate]chemical sciences/material chemistry,6
[chim.theo]chemical sciences/theoretical and/or physical chemistry,3
[chim.orga]chemical sciences/organic chemistry,5
[chim.cris]chemical sciences/cristallography,1
b-stationarity,1
mathematical programs with disjunctive constraints,1
m-stationarity,1
"49j53, 90c33, 90c46",1
qm-stationarity,1
"94a34, 60g55",1
glycolipids,1
glycoconjugates,2
biomimetic synthesis,2
semaphorin,1
gnrh neuron,1
wetting,1
thermal desorption spectroscopy,1
breed management,2
genomic selection,2
snp chip,2
runs of homozygosity,2
endangered breeds,2
effecive population size,1
cyclopropanes,1
bifunctional,1
phase-transfer catalysis,3
cinchona alkaloids,1
cd4 t cell,1
zika virus,1
zika patients,1
immunodominance,1
narcolepsy type 1,1
hla-dqb1*06:02.,1
orexin/hypocretin,1
cd4+ t-cell proliferation,1
autoimmune disease,4
tannerella forsythia,4
g protein-coupled receptors (gpcr),1
7-helix receptor,1
g proteins,2
adenylate cyclase (adenylyl cyclase),1
heat-shock protein,2
exocrine glands,1
ruminants,3
livestock,5
breast tissue,1
sheep,2
mycoplasma,3
mollicutes,4
mastitis,1
immune physiology,8
spleen,2
maternal health,2
mammary glands,1
transcriptome analysis,2
primary 82b20,1
microbiota,5
formalin-fixed paraffin-embedded tissue (ffpe),1
mycobiota,1
otu picking,1
internal transcribed spacer (its),1
dna isolation,2
multiple sequence alignment (msa),1
g0/g1 switch gene 2,1
fibroblast growth factor 21,1
"atgl-atko, at-specific deficiency of atgl",1
"cgi-58-atko, at-selective ablation of cgi-58",1
hepatology,12
"fgf21, fibroblast growth factor 21",1
"pgc-1α, ppargamma co-activator-1alpha",1
hepatic steatosis,1
"at, adipose tissue",1
"crebh, camp-responsive element binding protein, hepatocyte specific",1
"hnf4α, hepatocyte nuclear factor 4alpha",1
"fa(s), fatty acid(s)",1
"cgi-58, comparative gene identification-58",1
"nafld, nonalcoholic fatty liver disease",1
"pepck, phosphoenolpyruvate carboxykinase",1
"hnf4?, hepatocyte nuclear factor 4alpha",1
obesity,5
cgi-58,2
"ld, lipid droplet",2
"ppar?, peroxisome proliferator-activated receptor alpha",1
"pgc-1?, ppargamma co-activator-1alpha",1
"nlsd, neutral lipid storage disease",1
"g0s2, g0/g1 switch gene 2",1
"g6pase, glucose-6-phosphatase",1
crebh,1
atgl,1
"pparα, peroxisome proliferator-activated receptor alpha",1
"tg, triacylglycerol",4
pparα,1
intramolecular transition,1
fret sensor,1
fungal biochemistry,5
chemical biology,12
molecular dynamics simulations,3
thermodynamic integration,2
oppa,1
free-energy perturbation,1
computational alchemy,1
low-density lipoprotein receptor-related protein 1b,1
overexpression,2
tumor suppressor,4
bis(mu3-oxo)-decakis(mu2-methacrylato)-bis(methacrylato)-tetra-zirconium,1
insulin,3
critical care and emergency medicine,4
sepsis,3
immobilization,3
crystalline bacterial surface layer,1
liposome,4
fractional derivative,1
travelling wave,1
nonlocal evolution equation,1
software_softwareengineering,1
"65d30, 65d32, 65y20",1
attachment limited aggregation,1
surface science letters,1
diffusion limited aggregation,1
sputtering,3
hexaphenyl,1
stochastic resonance,1
ensiferan insects,1
auditory interneuron,1
infrared,3
cavitation resistance,1
ultrasonic acoustic emissions,1
supercooled water,1
thaw-induced embolism,1
cavitation,1
ice propagation,2
infrared thermography,1
nondestructive monitoring,1
picea-abies,1
pressure,2
walnut trees,1
freezing stress,1
thermal-analysis idta,1
malus-domestica,1
"46f30, 13j99",1
"11k16 (primary) 11y65, 60f10 (secondary)",1
european parliament,1
legitimacy,2
european union,1
media,1
national parliaments,1
extra views,1
"20e06 (primary), 20e08 (secondary)",1
"000 computer science, knowledge general works",1
"vienna, western europe 1923-1926",1
particle physics - experiment,2
transpression,1
fault termination,1
stretching fault,1
ductile shear zone,1
porphyroclast system,1
gypsum,1
cardiovascular disease,6
lipids and cholesterol,1
cholesterol homeostasis,1
atp?binding cassette transporter,1
coronary heart disease,2
atp‐binding cassette transporter,1
physciaceae,1
physcia-physconia-type ascospore development,1
oxnerella,1
lichenized ascomycetes,1
astro-ph.co,4
astro-ph.ga,2
oceanic tracer,1
fallout,1
coral,2
236u,1
accelerator mass spectrometry,1
schrödinger picture,1
dequantization,2
born and jordan,2
heisenberg picture,2
quantization,4
b. mechanical properties at ambient temperature,1
a. iron aluminides,1
a. multiphase intermetallics,2
a. laves phases,1
"03e35, 03e55",2
devbio,1
structural connectivity,1
probabilistic tractography,2
institute of geography,3
glacier modeling,1
910 geography & travel,3
mean sea level,1
glacier mass change,1
in situ and satellite observations,1
in vivo kinetic study,1
lipoproteins,8
actin polymerization,1
variational methods,2
cellular cortex,1
quantitative biology - cell behavior,2
weak solutions,1
"ams subject classification: 35k40, 35k51, 35q92, 35a15, 2c17",1
cell motility modelling,1
"35k40, 35k51, 35q92, 35a15, 2c17",1
transcendental numbers,4
"11j81, 11j70, 11b85, 68r15",1
"msc: 11j81, 11j70, 11b85, 68r15",2
impact ionization,2
negative differential resistance,1
gate-tunable,1
cd8+ t-cell responses,1
amygdala,9
tract tracing,1
intercalated cell,1
quantitative biology - genomics,4
"economics, econometrics and finance (miscellaneous)",9
"voluntary contribution mechanism, public goods experiments, learning, limited information, confusion, conditional cooperation, c90, d83, h41,",1
"voluntary contribution mechanism, public goods experiments, learning, limited information, confusion, conditional cooperation",1
hybrid cytotypes,2
asymmetric gene flow,1
contact zone,2
ecological niche,2
senecio carniolicus (asteraceae),1
lamellipodia,1
rac1,3
resveratrol,3
"msc 11b30, 13a05, 13f05, 20m13",1
silicon nanorods,1
nanoparticle launching,1
nanoparticle detection,1
cavity optomechanics,1
quantification and validation,1
cleavage products,1
?-carotene,2
extraction and analysis methods,1
β-carotene,4
in vitro oxidation methods,1
inducible retrotransposon,1
translation initiation,2
reverse transcription,1
phosphoramidite,1
labeling,2
azides,1
non-structural carbohydrates,1
resource-holding potential,1
contest competition,1
body size,3
territoriality,4
allylanisole,1
western flower thrips,2
thysanoptera,2
methyl jasmonate,1
secondary plant compound,2
cis‐jasmone,1
feeding deterrence,2
thripidae,2
conservation,2
split diversity,1
phylogenetic diversity,1
conservation biology,4
"hdac, histone deacetylase",1
"ptsd, post-traumatic stress disorder",1
"us, unconditioned stimulus",1
lysine acetylation,1
"cbp, creb-binding protein",1
anxiolytic therapy,1
histone deacetylase inhibitor (hdac inhibitor),1
"nmda, n-methyl-d-aspartate",2
"hat, histone acetyltransferase",1
independent meeting,1
"bdnf, brain-derived neurotrophic factor",3
"creb, camp-response-element-binding protein",1
"ssri, selective serotonin-re-uptake inhibitor",1
trauma,1
histone acetyltransferase activator (hat activator),1
"vpa, valproic acid",1
s7,1
"saha, suberoylanilide hydroxamic acid",1
"nurd, nucleosome remodelling and deacetylation",1
"corest, co-repressor for element-1-silencing transcription factor",1
"cs, conditioned stimulus",1
"cbt, cognitive behavioural therapy",1
"sps, single prolonged stress",1
454 sequencing,1
cyperaceae,1
primer note,1
isoëto-nanojuncetea,1
cyperus fuscus,1
iso?to-nanojuncetea,1
[ sdv.mp.bac ] life sciences [q-bio]/microbiology and parasitology/bacteriology,1
cellulase production,1
translocation,3
vib1,1
"[sdv.bbm.gtp]life sciences [q-bio]/biochemistry, molecular biology/genomics [q-bio.gn]",6
"[ sdv.bbm.gtp ] life sciences [q-bio]/biochemistry, molecular biology/genomics [q-bio.gn]",3
[sdv.mp.bac]life sciences [q-bio]/microbiology and parasitology/bacteriology,3
food uptake,1
turtle,1
feeding kinematics,1
transition to land,1
evolutionary studies,3
tetrapoda,1
frankreich,1
jel:d31,9
jel:c42,6
jel:i31,2
jel:c90,8
household economies of scale; equivalence scales; survey method; independence of base;,1
haushaltsökonomik,4
"general business, management and accounting",10
"household economies of scale, equivalence scales, survey method, independence of base, c42, c90, d31, d63, i31,",1
"business & economic sciences :: special economic topics (health, labor, transportation…) [b16]",1
verfügbares einkommen,1
zypern,1
einkommensverteilung,2
"sciences économiques & de gestion :: domaines particuliers de l'économie (santé, travail, transport…) [b16]",1
condensed matter,9
approximate ground state solution,1
time-splitting spectral method,1
bose-einstein condensation (bec),1
gross-pitaevskii equation,1
defocusing/focusing nonlinearity,1
major histocompatibility complex (mhc),1
multiple paternity,2
mus,1
inbreeding,3
extrapair paternity,1
"551,geographie",1
"46b25, 60g46, 30h10, 47b37, 47a53",1
diseases of the respiratory system,3
rc705-779,3
"plataiai, settlement history, late classical town planning, fortification systems, pottery sequence , surface and geophysical survey",2
hpa axis,1
germ-free mice,1
probiotics,3
"53c42, 53a10, 53a30, 37k25, 37k35",1
nmr,7
kink-turn,1
assignment,1
ribosomal protein,2
l7ae,1
heart rate,4
domestic dog,2
error correction,1
non-associative,2
associative,2
thrips,4
emotions,4
performing styles,1
free associations,1
"(2,6-bis((diisopropylphosphino)(methyl)amino)phenyl)-dicarbonyl-cobalt(i)",1
prophylactic,1
hygiene hypothesis,1
natural immunity,2
mrna vaccine,1
allergy vaccines,1
type i allergy,3
dna vaccine,2
safety,2
prevention,2
ring of differential operators,1
linear partial differential equations,1
differential algebra,1
14m20,1
"(2,6-bis((diisopropylphosphino)(methyl)amino)phenyl)-chloro-nickel",1
tetrakis(mu-oxo)-dodecakis(mu-2-methylprop-2-enoato)-bis(2-methylprop-2-enoato)-bis(methacrylic acid)-tetra-titanium-di-holmium,1
molecular biology/histone modification,1
genetics and genomics/epigenetics,3
58j65 (35a30 35h10 43a85 60b15 60h15),1
hypo-elliptic diffusion,1
spectral gap,2
60j60,1
47a10,5
lie group,1
social judgments,1
similarity,1
person perception,1
response surface analyses,1
regeneration,3
veterinary diseases,3
parasite physiology,1
veterinary parasitology,1
organism development,6
marine ecology,5
evolutionary developmental biology,4
"90c26, 90c56, 90c57",1
[info.info-mc]computer science [cs]/mobile computing,1
[info.info-ar]computer science [cs]/hardware architecture [cs.ar],5
[ info.info-mc ] computer science [cs]/mobile computing,1
[info.info-ni]computer science [cs]/networking and internet architecture [cs.ni],5
[ info.info-ar ] computer science [cs]/hardware architecture [cs.ar],4
[info.info-es]computer science [cs]/embedded systems,2
[ info.info-es ] computer science [cs]/embedded systems,1
[info.info-pf]computer science [cs]/performance [cs.pf],2
[ info.info-os ] computer science [cs]/operating systems [cs.os],1
[ info.info-ni ] computer science [cs]/networking and internet architecture [cs.ni],4
[info.info-ts]computer science [cs]/signal and image processing,12
computer applications/j.7: computers in other systems/j.7.6: real time [acm],1
[ info.info-pf ] computer science [cs]/performance [cs.pf],2
acm: j.: computer applications/j.7: computers in other systems/j.7.6: real time,1
[info.info-os]computer science [cs]/operating systems [cs.os],1
t-maze,2
heritability,2
olfactory preferences,1
olfactory learning,1
evolve and resequence,5
varieties,1
genetic structure,1
douglas-fir,1
refugia,2
intervarietal hybridization,1
tissue engineering,4
bone marrow and stem cell transplantation,2
cardiovascular,8
mesenchymal stem cells,4
hematopoietic stem cells,2
"33d15 (primary) 33d45, 33e05, 33e20, 41a30, 41a58 (secondary)",1
3- nitropropionic acid,1
anle138b,1
anle138b; a-synuclein; multiplesystematrophy; glialcytoplasmicinclusions; 3-nitropropionicacid,1
plant pathogen,3
microbiology and infectious disease,1
brachypodium distachyon,1
biotrophic interaction,2
grass,1
ustilago bromivora,1
brachypodium;smut fungus;mating-type;genome;secretome,1
path model,1
loop grassmannian,1
mv cycles,1
20g05,1
"32v40, 32v05, 53c30,",1
mcf-7,2
girk1,3
kcnj3,2
splice variant,1
long term storage in liquid nitrogen,1
bt474 cells,1
cell line stability,1
"ester boserup, socio-ecological transitions, contemporary sustainability research, society-nature interrelations, women and gender in agriculture",1
